"Model","BAUs_cellsize","basis_nres","n_EM","RMSE_test","MAE_test","R_squared_test","Runtime_train","Runtime_test"
1,0.01,1,1,17.8471060500477,15.1814559880607,0.558131254249125,5.3848831653595,19.3161759376526
2,0.01,1,2,17.8182997039461,15.1847034190928,0.559556510712333,5.55451583862305,15.2893400192261
3,0.01,1,3,17.7992466848038,15.1892296229577,0.56049793517241,4.03027105331421,15.901997089386
4,0.01,2,1,14.1253461539163,11.1052413861969,0.723206508249996,22.444916009903,34.5394959449768
5,0.01,2,2,14.132855563745,11.1139227119014,0.722912128451784,20.2478580474854,32.7793610095978
6,0.01,2,3,14.137925571995,11.1209384176186,0.722713288270687,20.848846912384,32.2470569610596
7,0.01,3,1,13.4438913373367,10.9817935582066,0.749269213688419,98.3279180526733,112.591864824295
8,0.01,3,2,13.4117927873518,10.946441290663,0.750465070852911,116.241230964661,116.366393089294
9,0.01,3,3,13.3871028578924,10.9165717694014,0.75138296885012,121.495626926422,120.167469024658
10,0.02,1,1,17.8419970454646,15.177927950446,0.55838420128913,2.06693887710571,2.25423121452332
11,0.02,1,2,17.813332162903,15.1800309675846,0.559802057836656,1.15342497825623,1.9274320602417
12,0.02,1,3,17.7943525371385,15.1847151487853,0.560739596218039,1.01933407783508,1.87685894966125
13,0.02,2,1,14.0467015078612,11.0763043595629,0.726280093421201,3.30128002166748,5.60365986824036
14,0.02,2,2,14.0555989155625,11.085975389671,0.725933226377217,2.82672500610352,5.69551396369934
15,0.02,2,3,14.0607217151965,11.0930860382248,0.725733413472797,2.74727392196655,5.64941692352295
16,0.02,3,1,13.2457780511168,10.7964682313865,0.756604456113933,25.0472939014435,24.928288936615
17,0.02,3,2,13.2156390039053,10.763885925941,0.757710825861732,29.8349590301514,30.4969530105591
18,0.02,3,3,13.1933823406926,10.7378132254734,0.758526224604062,36.5916728973389,30.5943388938904
19,0.03,1,1,17.8588188562982,15.1934531711413,0.557551079367623,0.840696096420288,1.24695491790771
20,0.03,1,2,17.8304632409162,15.1951077893809,0.558954974164723,0.820266008377075,0.960635900497437
21,0.03,1,3,17.8117462488873,15.1996289795842,0.559880435649777,0.76758885383606,0.961856842041016
22,0.03,2,1,14.1420993302789,11.1132380454145,0.722549544511292,1.72136807441711,2.21039700508118
23,0.03,2,2,14.1523874106555,11.1231618298757,0.72214571891372,1.81493616104126,2.67197799682617
24,0.03,2,3,14.1580353265765,11.1302201960084,0.721923903228644,1.77206301689148,1.96625018119812
25,0.03,3,1,13.4371917421621,10.9902817312624,0.749519048527395,18.1647441387177,11.2404401302338
26,0.03,3,2,13.4059119572535,10.9555243634303,0.750683856039199,22.4180159568787,11.9363679885864
27,0.03,3,3,13.3855293466596,10.9317016781634,0.751441409978801,26.1139619350433,13.1255588531494
