"Range","Alpha","RMSE_train","MAE_train","R_squared_train","RMSE_test","MAE_test","R_squared_test","Runtime_train","Runtime_test"
0.1,0.1,10.2926926413261,7.37604068463543,0.829345617325258,14.0764827214036,11.1850889129306,0.725118204640705,1.97757005691528,0.00242209434509277
0.1,0.5,10.3492130267992,7.41101966668307,0.827466238445558,14.0913112913224,11.194879853767,0.724538762894511,1.23254084587097,0.00137710571289062
0.1,1,10.3108649398378,7.38355524698459,0.828742486513134,14.0464738778197,11.172356897368,0.726288964737902,1.5082700252533,0.00187397003173828
0.1,1.5,10.8150605017108,7.83933112460697,0.811584188795442,13.9787938257787,11.1192316330914,0.728920251187852,1.49296092987061,0.00125503540039062
0.1,2,10.9363708901441,7.96528853959304,0.807333637388945,13.9728766120053,11.1468504914977,0.729149698356113,1.30191087722778,0.00137710571289062
0.5,0.1,10.2892992294622,7.37349535988648,0.829458125327727,14.0769355405005,11.1843401410296,0.725100519295465,1.43389487266541,0.0011899471282959
0.5,0.5,10.3674611583072,7.42563107182091,0.826857265672662,14.0684158009039,11.1779761965639,0.725433171702894,1.30004811286926,0.00137710571289062
0.5,1,10.4046426624214,7.44961284330718,0.825613132480237,14.0530151070615,11.174090788859,0.726033979248191,1.29769492149353,0.00134897232055664
0.5,1.5,10.6096122024226,7.66112654452772,0.818674677744029,13.9794110896318,11.0946891994463,0.728896310434922,1.36295604705811,0.00113105773925781
0.5,2,10.7424892552433,7.79816982117951,0.814104321541469,13.9611068911928,11.1244188430828,0.729605794824053,1.59537601470947,0.00166606903076172
1,0.1,10.2472873340346,7.34477449957618,0.830847949861495,14.0732359915382,11.1874501186618,0.725244992564749,1.33843898773193,0.00120306015014648
1,0.5,10.3492989446969,7.41407000573177,0.827463373725396,14.0556835158826,11.1702710902671,0.725929927164326,1.26377296447754,0.00110197067260742
1,1,10.2942220785292,7.37563010628181,0.82929489696222,14.0363701363913,11.163997773867,0.726682588208858,1.35014510154724,0.00108218193054199
1,1.5,10.6752335938392,7.71826314447105,0.816424714720775,13.9642211749741,11.1017336040362,0.729485148486259,1.50823998451233,0.00161504745483398
1,2,10.8391141639281,7.88142542786903,0.810745149538007,13.9716526058353,11.1344196937809,0.729197148559688,1.60599613189697,0.00203084945678711
1.5,0.1,10.2830805429916,7.36807321909544,0.829664208548067,14.0835247992026,11.187556432993,0.724843104216077,1.34755110740662,0.00108504295349121
1.5,0.5,10.4343435655222,7.47154217834214,0.824616108324648,14.0700738683811,11.1795739245097,0.725368448401836,1.25426816940308,0.00105094909667969
1.5,1,10.3810479049613,7.43210128348133,0.826403154894269,14.0509114668252,11.1724671943184,0.726115994787807,1.20821690559387,0.00127196311950684
1.5,1.5,10.7977804180226,7.82425554119281,0.812185801690171,13.9701586886428,11.1169250633392,0.729255056585081,1.47246599197388,0.0010840892791748
1.5,2,10.8758110266416,7.90963550389196,0.809461499279716,13.9846319653689,11.143901849532,0.728693775010544,1.36545610427856,0.00135397911071777
2,0.1,10.2428345523969,7.34239232426333,0.830994922123302,14.0808156254374,11.1975172047444,0.72494895501054,1.32285094261169,0.00104689598083496
2,0.5,10.4139306713735,7.45738928330499,0.825301650427738,14.0603270598682,11.1739835640788,0.725748809446472,1.29529690742493,0.00109195709228516
2,1,10.3755326841968,7.4290916300656,0.826587562211183,14.0529578021837,11.1720064899766,0.726036213581141,1.2439980506897,0.00105500221252441
2,1.5,10.6531376007709,7.69793093766482,0.817183870064425,13.9749629028022,11.0984729448974,0.729068810977965,1.24886107444763,0.0011289119720459
2,2,10.9132579587387,7.94102804349017,0.808147139215554,13.9881198492152,11.1500407251969,0.728558426063568,1.42028403282166,0.00130295753479004
